ID,Category,skills_str,skill_count
20932019,DESIGNER,"autocad, cad, catia, customer service, mechanical, payroll, sales, shell, solidworks, training",10
51681660,DESIGNER,"excel, photoshop",2
34657584,DESIGNER,"autocad, civil, illustrator, photoshop, structural",5
15471999,DESIGNER,"communication, customer service, leadership, problem solving, sales",5
18979238,DESIGNER,"civil, excel, training",3
26622051,DESIGNER,"autocad, cad, civil, illustrator, indesign, photoshop, project management, quality control, sap",9
22675694,DESIGNER,"communication, illustrator, photoshop",3
25023614,DESIGNER,"autocad, cad, communication, problem solving, structural",5
20390397,DESIGNER,"autocad, cad, communication, customer service, electrical, erp, excel, project management, sales, sap, training",11
17199951,DESIGNER,"autocad, excel, illustrator, marketing, mechanical, photoshop, training",7
14743911,DESIGNER,"leadership, training",2
24455357,DESIGNER,"communication, excel, quality control",3
91153752,DESIGNER,"autocad, illustrator, indesign, leadership, marketing, mechanical, photoshop, sketch, ui/ux",9
14528265,DESIGNER,"aws, cad, mechanical, structural",4
18460045,DESIGNER,"excel, illustrator, marketing, photoshop",4
20986595,DESIGNER,"accounting, analytics, communication, excel, illustrator, indesign, investment, leadership, marketing",9
20748926,DESIGNER,"accounting, customer service, medical, sales",4
32532982,DESIGNER,"autocad, electrical, excel, mechanical, structural",5
34317538,DESIGNER,"agile, clinical, compliance, customer service, data analysis, hipaa, html, marketing, medical, patient care, photoshop, project management, prototyping, quality control, sql, training",16
19195747,DESIGNER,"accounting, cad, marketing, medical, sales",5
12547982,DESIGNER,"autocad, compliance, electrical, excel, mechanical, structural",6
94417768,DESIGNER,"autocad, compliance, leadership, marketing, mechanical, problem solving, sales, simulation, statistics",9
24655918,DESIGNER,"customer service, illustrator, leadership, marketing, photoshop, sales, strategic planning, training",8
27497542,DESIGNER,"business development, communication, customer service, excel, marketing, sales, training",7
62312955,DESIGNER,"cad, illustrator, indesign, marketing, photoshop, r, training, vue",8
22506245,DESIGNER,"customer service, excel, html, illustrator, indesign, marketing, photoshop, training, unix",9
28663949,DESIGNER,"cad, indesign, photoshop, project management, sales",5
39434376,DESIGNER,"illustrator, leadership",2
13998435,DESIGNER,"autocad, cad, electrical, spring",4
30965258,DESIGNER,"communication, customer service, illustrator, indesign, marketing, negotiation, photoshop, sales, training",9
18835363,DESIGNER,"onboarding, project management, r, stakeholder management",4
26503829,DESIGNER,"communication, excel, illustrator, problem solving, sketch, training",6
18198627,DESIGNER,"cad, compliance, customer service, excel, html, illustrator, indesign, marketing, photoshop, sales, sketch, training",12
39252859,DESIGNER,"cad, communication, marketing, medical, sales, training",6
34051710,DESIGNER,"illustrator, indesign, leadership, marketing, payroll, photoshop, tax",7
37664296,DESIGNER,"agile, auditing, business development, communication, compliance, css, html, illustrator, leadership, marketing, photoshop, project management, prototyping, scrum, sketch",15
21916744,DESIGNER,"communication, css, excel, html, illustrator, marketing, photoshop",7
15425154,DESIGNER,"communication, excel, illustrator, indesign, marketing, photoshop, project management, sales, training",9
24285142,DESIGNER,"bash, communication, customer service, illustrator, indesign, marketing, photoshop, sales",8
24583187,DESIGNER,"autocad, cad, communication, illustrator, indesign, investment, leadership, photoshop, project management, r, sketch",11
29865476,DESIGNER,"budgeting, customer service, excel, medical, problem solving, sales, training",7
25949631,DESIGNER,"accounting, budgeting, business development, customer service, investment, marketing, sales, swift, training",9
21283733,DESIGNER,"business development, communication, compliance, css, excel, html, illustrator, indesign, marketing, photoshop, sales",11
51018476,DESIGNER,"cad, communication, excel",3
13014900,DESIGNER,"communication, compliance, excel, html, illustrator, indesign, marketing, photoshop, sales, training",10
44145704,DESIGNER,"communication, compliance, customer service, excel, training",5
18795567,DESIGNER,"cad, css, excel, html, illustrator, photoshop, problem solving, project management, simulation, solidworks, strategic planning",11
42384185,DESIGNER,"big data, html, illustrator, marketing, mechanical, photoshop, problem solving, sales, solidworks",9
26942552,DESIGNER,"accounting, communication, customer service, marketing, sales, training",6
67645662,DESIGNER,"autocad, cad, customer service, electrical, sales",5
34511655,DESIGNER,"css, html, marketing",3
37695494,DESIGNER,"cad, cam, illustrator, sales",4
93301686,DESIGNER,"electrical, excel, mechanical, training",4
36856210,INFORMATION-TECHNOLOGY,"big data, compliance, html, illustrator, linux, photoshop, risk management, training",8
21780877,INFORMATION-TECHNOLOGY,"electrical, project management, training",3
33241454,INFORMATION-TECHNOLOGY,"communication, excel, medical, project management, training",5
25990239,INFORMATION-TECHNOLOGY,"customer service, data analysis, excel, html, illustrator, indesign, photoshop, php, problem solving, project management, training",11
16899268,INFORMATION-TECHNOLOGY,"communication, data analysis, leadership, marketing, project management, strategic planning, training",7
91635250,INFORMATION-TECHNOLOGY,"communication, diagnosis, mechanical, medical, training",5
19796840,INFORMATION-TECHNOLOGY,"auditing, communication, compliance, ehr, erp, hr, leadership, medical, onboarding, oracle, payroll, risk management, sql, training",14
15651486,INFORMATION-TECHNOLOGY,"compliance, erp, linux, sql, training, unix",6
52246737,INFORMATION-TECHNOLOGY,"analytics, compliance, forecasting, investment, linux, negotiation, problem solving, risk management, statistics, strategic planning, training",11
12045067,INFORMATION-TECHNOLOGY,compliance,1
13836471,INFORMATION-TECHNOLOGY,"quickbooks, sales, sql",3
14789139,INFORMATION-TECHNOLOGY,"budgeting, cad, communication, compliance, crm, ehr, leadership, marketing, medical, patient care, project management, sap, sql, tax, training",15
36434348,INFORMATION-TECHNOLOGY,"communication, html, leadership, marketing, oracle, photoshop, project management, sap, sql, strategic planning, training",11
27536013,INFORMATION-TECHNOLOGY,"crm, data analysis, erp, leadership, oracle, project management, sap, sql, strategic planning, training",10
18301617,INFORMATION-TECHNOLOGY,"budgeting, communication, compliance, leadership, linux, project management, quickbooks, sql, strategic planning, training",10
24913648,INFORMATION-TECHNOLOGY,"communication, compliance, risk management",3
26801767,INFORMATION-TECHNOLOGY,"auditing, budgeting, communication, customer service, data analysis, excel, investment, leadership, shell, strategic planning, training, unix",12
27372171,INFORMATION-TECHNOLOGY,"communication, customer service, excel, medical, quality control, spark, statistics, strategic planning, training, unix",10
91697974,INFORMATION-TECHNOLOGY,"communication, customer service, excel, leadership, problem solving, project management, sales, training",8
28672970,INFORMATION-TECHNOLOGY,"accounting, communication, erp, hr, leadership, project management, strategic planning, training",8
66832845,INFORMATION-TECHNOLOGY,"azure, communication, linux, training, unix",5
25207620,INFORMATION-TECHNOLOGY,"communication, customer service, sap, training",4
41344156,INFORMATION-TECHNOLOGY,"budgeting, communication, compliance, crm, data analysis, etl, hipaa, leadership, marketing, negotiation, sales, sql, training",13
68460556,INFORMATION-TECHNOLOGY,"communication, customer service, excel, problem solving, spring, training",6
10247517,INFORMATION-TECHNOLOGY,"autocad, budgeting, communication, compliance, erp, excel, leadership, mechanical, problem solving, project management, quality control, sap, solidworks, sql, strategic planning, training",16
25959103,INFORMATION-TECHNOLOGY,"leadership, sql, swift, training",4
13385306,INFORMATION-TECHNOLOGY,"agile, banking, clinical, leadership, oracle, project management, sql, tableau",8
38753827,INFORMATION-TECHNOLOGY,"budgeting, compliance, crm, hipaa, leadership, marketing, project management, sales, training",9
17681064,INFORMATION-TECHNOLOGY,"banking, crm, customer service, leadership, oracle, project management, sales",7
25905275,INFORMATION-TECHNOLOGY,"communication, customer service, electrical, excel, leadership, problem solving, project management, training",8
11580408,INFORMATION-TECHNOLOGY,"communication, erp, marketing, problem solving, r, sql, training, unix",8
19201175,INFORMATION-TECHNOLOGY,"communication, customer service, problem solving, training",4
12635195,INFORMATION-TECHNOLOGY,"data analysis, java, javascript, project management, python, training",6
32959732,INFORMATION-TECHNOLOGY,"accounting, azure, budgeting, business development, communication, crm, employee relations, erp, forecasting, hr, leadership, linux, payroll, project management, sales, sap, scrum, sql, tableau, training",20
17688766,INFORMATION-TECHNOLOGY,"accounting, communication, compliance, customer service, investment, leadership, problem solving, risk management, sql, unix",10
20024870,INFORMATION-TECHNOLOGY,"accounting, crm, erp, excel, hr, html, illustrator, java, marketing, medical, nursing, photoshop, php, sales, spring, sql, statistics",17
22450718,INFORMATION-TECHNOLOGY,"communication, excel, linux, oracle, spring, training, unix",7
46260230,INFORMATION-TECHNOLOGY,"communication, compliance, leadership, linux, mechanical, problem solving, project management, quality control, spark, training",10
10839851,INFORMATION-TECHNOLOGY,training,1
18752129,INFORMATION-TECHNOLOGY,training,1
37764298,INFORMATION-TECHNOLOGY,"compliance, crm, excel, marketing, quality control, sql, training",7
90867631,INFORMATION-TECHNOLOGY,"communication, customer service, html, leadership, oracle, project management, sql, training",8
17641670,INFORMATION-TECHNOLOGY,"business development, communication, compliance, customer service, excel, html, leadership, mechanical, project management, training",10
24889109,INFORMATION-TECHNOLOGY,"leadership, performance management, training",3
24083609,INFORMATION-TECHNOLOGY,medical,1
24038620,INFORMATION-TECHNOLOGY,"crm, leadership, marketing, negotiation, project management, strategic planning, training",7
29051656,INFORMATION-TECHNOLOGY,"auditing, aws, bash, civil, communication, linux, mysql, oracle, problem solving, shell, sql, training, unix",13
20237244,INFORMATION-TECHNOLOGY,"bash, compliance, hipaa, linux, training, unix",6
20001721,INFORMATION-TECHNOLOGY,"compliance, customer service, excel, linux, problem solving, sql, training, unix",8
92069209,INFORMATION-TECHNOLOGY,"communication, leadership, project management, training",4
13405733,INFORMATION-TECHNOLOGY,"agile, budgeting, communication, compliance, crm, excel, leadership, marketing, oracle, perl, project management, python, sales, sql, training",15
28697203,INFORMATION-TECHNOLOGY,"agile, communication, project management, scrum, training",5
28035460,INFORMATION-TECHNOLOGY,"communication, data analysis, problem solving, training",4
21283365,INFORMATION-TECHNOLOGY,"accounting, communication, erp, hipaa, hr, leadership, project management, r, strategic planning, training",10
17987433,INFORMATION-TECHNOLOGY,training,1
10553553,INFORMATION-TECHNOLOGY,"communication, scrum, sql",3
15118506,INFORMATION-TECHNOLOGY,"budgeting, communication, compliance, erp, leadership, project management, r, sales, training",9
18176523,INFORMATION-TECHNOLOGY,"leadership, problem solving, sql, training",4
24020470,INFORMATION-TECHNOLOGY,"compliance, crm, customer service, diagnosis, illustrator, marketing, photoshop, problem solving, sales, training",10
70089206,INFORMATION-TECHNOLOGY,"budgeting, compliance, java, javascript, linux, oracle, perl, project management, shell, sql, statistics, training, unix",13
27770859,INFORMATION-TECHNOLOGY,"communication, electrical, html, leadership, linux, mysql, php, project management",8
57002858,INFORMATION-TECHNOLOGY,"accounting, communication, electrical, excel, problem solving, sql",6
13477922,INFORMATION-TECHNOLOGY,,0
28126340,INFORMATION-TECHNOLOGY,"compliance, css, customer service, html, javascript, leadership, linux, marketing, mysql, oracle, payroll, photoshop, php, project management, sales, sql",16
37242217,INFORMATION-TECHNOLOGY,"analytics, banking, business development, compliance, css, erp, illustrator, indesign, java, javascript, linux, marketing, mysql, oracle, photoshop, php, project management, risk management, sql, training, unix",21
10089434,INFORMATION-TECHNOLOGY,"azure, bash, css, html, java, linux, sql, training",8
11957080,INFORMATION-TECHNOLOGY,"communication, customer service, data analysis, excel, html, linux, medical, r, sap, sql, training, unix, vue",13
35325329,INFORMATION-TECHNOLOGY,"agile, clinical, compliance, hipaa, medical, onboarding, project management, risk management, scrum, strategic planning, training",11
10840430,INFORMATION-TECHNOLOGY,"budgeting, communication, customer service, problem solving, project management, training",6
64017585,INFORMATION-TECHNOLOGY,"compliance, linux, marketing, sales, training",5
19850482,INFORMATION-TECHNOLOGY,"api, budgeting, investment, leadership, project management, sales, training",7
52618188,INFORMATION-TECHNOLOGY,"auditing, communication, compliance, crm, customer service, erp, excel, forecasting, leadership, oracle, problem solving, project management, sales, sap, shell, training",16
28897981,INFORMATION-TECHNOLOGY,"communication, compliance, css, html, leadership, linux, mysql, php, problem solving, r, sales, training",12
51639418,INFORMATION-TECHNOLOGY,"budgeting, communication, compliance, forecasting, leadership, linux, medical, oracle, performance management, project management, sql",11
20674668,INFORMATION-TECHNOLOGY,"analytics, compliance, css, html, java, javascript, jquery, oracle, php, problem solving, python, sql, statistics, unix",14
23527321,INFORMATION-TECHNOLOGY,"accounting, analytics, communication, erp, investment, leadership, marketing, r, sales, sap, training",11
18159866,INFORMATION-TECHNOLOGY,"budgeting, business development, customer service, erp, forecasting, leadership, oracle, project management, sales, strategic planning",10
22776912,INFORMATION-TECHNOLOGY,"accounting, budgeting, compliance, crm, customer service, erp, leadership, marketing, negotiation, r, sales, sql, strategic planning, training",14
23864648,INFORMATION-TECHNOLOGY,"compliance, crm, erp, hipaa, leadership, linux, marketing, negotiation, oracle, quickbooks, sales, shell, simulation, training, unix",15
